Category,Message
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 747422
ham,Order #295753 shipped. Arrives Friday. Total: $691. Track online.
ham,Ok which your another number
spam,Student loan #463875 forgiveness $91412 approved. Claim with $181 processing fee.
ham,Order #470233 shipped. Arrives Friday. Total: $71. Track online.
ham,Hows the pain dear?y r u smiling?
spam,Student loan #404127 forgiveness $27240 approved. Claim with $385 processing fee.
spam,Student loan #230256 forgiveness $85899 approved. Claim with $345 processing fee.
spam,Loan $18143 approved. 6.41% APR. App #996861. Processing $362.
spam,Student loan #163026 forgiveness $36928 approved. Claim with $235 processing fee.
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
ham,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 838768
ham,"We're all getting worried over here, derek and taylor have already assumed the worst"
spam,"Bitcoin investment #493000: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
spam,Invoice #756045: Payment $80826 overdue 4 days. Pay immediately or legal action.
spam,Student loan #875433 forgiveness $39134 approved. Claim with $472 processing fee.
ham,Order #316295 shipped. Arrives Monday. Total: $123. Track online.
ham,Howz that persons story
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 910148
ham,I want  &lt;#&gt;  rs da:)do you have it?
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...
ham,Aiyar sorry lor forgot 2 tell u...
spam,Foreclosure #861424: Pay $98426 by Friday or property auctioned. Call now.
ham,Assignment due Friday. Course #450342. Submit via portal.
spam,Loan $49667 approved. 3.84% APR. App #664693. Processing $555.
ham,Can we meet for coffee on Tuesday? Let me know. Thanks! Ref: 500636
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
ham,Assignment due Tuesday. Course #982168. Submit via portal.
ham,Order #951001 shipped. Arrives Monday. Total: $329. Track online.
ham,Assignment due Friday. Course #691386. Submit via portal.
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
ham,How? Izzit still raining?
ham,Please review report by Monday. Task #476645. Thanks!
spam,"Bitcoin investment #753670: Deposit 0.5 BTC, withdraw 5 BTC in 30 days guaranteed."
ham,Oh did you charge camera
spam,Loan $96764 approved. 5.78% APR. App #837988. Processing $385.
ham,Can we meet for coffee on Friday? Let me know. Thanks! Ref: 329151
ham,Can we meet for coffee on Monday? Let me know. Thanks! Ref: 965130
spam,Invoice #128929: Payment $57708 overdue 7 days. Pay immediately or legal action.
ham,"Jay told me already, will do"
spam,WINNER #441567: Won $82137 in lottery. Claim immediately!
spam,WINNER #433019: Won $73483 in lottery. Claim immediately!
spam,Invoice #455260: Payment $51560 overdue 3 days. Pay immediately or legal action.
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
ham,Assignment due Friday. Course #599440. Submit via portal.
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,Wat's da model num of ur phone?
ham,Order #489512 shipped. Arrives Tuesday. Total: $796. Track online.
ham,Please review report by Tuesday. Task #413815. Thanks!
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
